Address,Bathrooms,Beds,tax,post_code,type,rooms,Price
"1339 PEREZ CRESCENT, ",2,3,6238,"Ottawa, ON, K2E 7R2",House,20,379900
"470 LAURIER AVENUE W UNIT#306, ",2,2,7003,"Ottawa, ON, K2P 2N7",House,2,425000
"355 HOLLAND AVENUE, ",1,3,3332,"Ottawa, ON, K1C 2J4",House,13,699900
"383 CUMBERLAND Street 803, ",1,2,4117,"Ottawa, ON, K1R 1E2",Condo,8,529000
"4 SHERBROOKE AVENUE UNIT#8, ",1,2,3134,"Ottawa, ON, K1R 7W9",House,1,635000
"177 CATHCART STREET, ",4,6,1886,"Ottawa, ON, K1C 4P1",House,1,1900000
"136 LEOPOLDS DRIVE, ",3,5,4296,"Ottawa, ON, K1V 6T8",House,2,1850000
"475 LAURIER W Avenue 1604, ",1,1,2300,"Ottawa, ON, K1J 8T9",Condo,11,336900
"6062 MEADOWGLEN Drive, ",4,3,2283,"Ottawa, ON, K1G 5R5",Condo,8,675000
"238 BESSERER Street 1204, ",1,1,6238,"Ottawa, ON, K2E 7R2",House,20,426000
"47 SECOND Avenue, ",4,3,7003,"Ottawa, ON, K2P 2N7",House,2,1099000
"25 SILVER ASPEN Crescent, ",3,4,4117,"Ottawa, ON, K1R 1E2",Condo,8,960000
"1967 MICHIGAN AVENUE, ",1,3,3134,"Ottawa, ON, K1R 7W9",House,1,749900
"383 CUMBERLAND Street 312, ",1,1,2796,"Ottawa, ON, K1J 1K5",Condo,10,429999
"530 LAURIER W Avenue 604, ",1,1,1886,"Ottawa, ON, K1C 4P1",House,1,309500
"883 HAMLET ROAD, ",3,4,2300,"Ottawa, ON, K1J 8T9",Condo,11,724900
"1029 ADLEY ROAD, ",3,3,2283,"Ottawa, ON, K1G 5R5",Condo,8,699900
"383 CUMBERLAND STREET UNIT#312, ",1,1,6238,"Ottawa, ON, K2E 7R2",House,20,429999
"429 KENT STREET UNIT#515, ",1,1,7003,"Ottawa, ON, K2P 2N7",House,2,409900
"1356 ERINDALE Drive, ",2,3,3332,"Ottawa, ON, K1C 2J4",House,13,629900
"2 CLAVER STREET, ",4,4,4117,"Ottawa, ON, K1R 1E2",Condo,8,1999000
"190 HICKORY Street, ",2,4,1886,"Ottawa, ON, K1C 4P1",House,1,1100000
"1599 LASSITER Terrace 201, ",2,2,4296,"Ottawa, ON, K1V 6T8",House,2,315000
"237 TEMBY PRIVATE, ",3,3,2300,"Ottawa, ON, K1J 8T9",Condo,11,475000
"193 BRISTON PRIVATE, ",2,2,2283,"Ottawa, ON, K1G 5R5",Condo,8,425000
"368 WINSTON AVENUE, ",3,3,6238,"Ottawa, ON, K2E 7R2",House,20,979900
"805 CARLING AVENUE UNIT#2807, ",2,2,3332,"Ottawa, ON, K1C 2J4",House,13,1245000
"429 KENT Street 216, ",1,1,3134,"Ottawa, ON, K1R 7W9",House,1,364900
"2182 ORIENT PARK Drive, ",2,4,2796,"Ottawa, ON, K1J 1K5",Condo,10,469000
"18 FULTON AVENUE, ",2,3,1886,"Ottawa, ON, K1C 4P1",House,1,1165000
"202 ST PATRICK STREET UNIT#24, ",1,1,4296,"Ottawa, ON, K1V 6T8",House,2,409750
"353B BOOTH STREET, ",3,3,6238,"Ottawa, ON, K2E 7R2",House,20,859900
"258 RUSSELL AVENUE, ",3,4,7003,"Ottawa, ON, K2P 2N7",House,2,1098000
"1255 VANCOUVER AVENUE, ",3,3,3332,"Ottawa, ON, K1C 2J4",House,13,614000
"40 BOTELER STREET UNIT#202, ",2,3,4117,"Ottawa, ON, K1R 1E2",Condo,8,1298000
"41 HILDA Street 204, ",1,1,3134,"Ottawa, ON, K1R 7W9",House,1,339000
"1302 WOODSIDE DRIVE, ",2,2,2796,"Ottawa, ON, K1J 1K5",Condo,10,715000
"946 MEADOWLANDS DRIVE, ",1,3,1886,"Ottawa, ON, K1C 4P1",House,1,565000
"121 WHITESTONE DRIVE, ",5,5,4296,"Ottawa, ON, K1V 6T8",House,2,1729000
"1445 NORMANDY CRESCENT, ",2,3,2300,"Ottawa, ON, K1J 8T9",Condo,11,699900
"1465 BASELINE ROAD UNIT#411, ",2,3,2283,"Ottawa, ON, K1G 5R5",Condo,8,379900
"41 HILDA STREET UNIT#204, ",1,1,6238,"Ottawa, ON, K2E 7R2",House,20,339000
"55 EMERALD POND PRIVATE, ",3,3,7003,"Ottawa, ON, K2P 2N7",House,2,599900
"180 YORK STREET UNIT#304, ",1,1,3332,"Ottawa, ON, K1C 2J4",House,13,329000
"200 LETT Street 617, ",1,1,3134,"Ottawa, ON, K1R 7W9",House,1,459900
"882 CLAUDE Street, ",3,5,2796,"Ottawa, ON, K1J 1K5",Condo,10,699900
"280 BRITTANY Drive 210, ",1,1,1886,"Ottawa, ON, K1C 4P1",House,1,299900
"2650 SOUTHVALE Crescent 403, ",2,2,4296,"Ottawa, ON, K1V 6T8",House,2,374900
"1975 MONTCLAIR Avenue, ",4,4,2283,"Ottawa, ON, K1G 5R5",Condo,8,1200000
"665 BATHGATE DRIVE UNIT#1805, ",2,3,3332,"Ottawa, ON, K1C 2J4",House,13,395000
"181 GUIGUES Avenue, ",3,3,3134,"Ottawa, ON, K1R 7W9",House,1,795000
"129 KAMLOOPS Avenue, ",3,4,2796,"Ottawa, ON, K1J 1K5",Condo,10,1465000
"1825 HAIG DRIVE, ",1,2,1886,"Ottawa, ON, K1C 4P1",House,1,574900
"1505 BASELINE ROAD UNIT#906, ",1,2,4296,"Ottawa, ON, K1V 6T8",House,2,349900
"4 ISLAND CREEK Private, ",3,3,2283,"Ottawa, ON, K1G 5R5",Condo,8,989000
"2871 RICHMOND ROAD UNIT#1116, ",2,2,6238,"Ottawa, ON, K2E 7R2",House,20,349900
"23 SEGUIN Street, ",4,6,4117,"Ottawa, ON, K1R 1E2",Condo,8,748888
"2020 JASMINE CRESCENT UNIT#810, ",2,3,3134,"Ottawa, ON, K1R 7W9",House,1,299900
"133 KIMBERWICK CRESCENT, ",3,3,2796,"Ottawa, ON, K1J 1K5",Condo,10,748000
"27 BEVERLEY Avenue, ",2,2,4296,"Ottawa, ON, K1V 6T8",House,2,799000
"957 BARWELL AVENUE, ",3,3,2300,"Ottawa, ON, K1J 8T9",Condo,11,695000
"915 ELMSMERE Road 1202, ",1,2,2283,"Ottawa, ON, K1G 5R5",Condo,8,3e+05
"14 NORICE Street 206, ",2,1,6238,"Ottawa, ON, K2E 7R2",House,20,349900
"309 CUMBERLAND Street 302, ",2,2,7003,"Ottawa, ON, K2P 2N7",House,2,3e+05
"1828 THORNECREST STREET, ",4,4,3332,"Ottawa, ON, K1C 2J4",House,13,799900
"2021 WOODGLEN CRESCENT, ",3,5,4117,"Ottawa, ON, K1R 1E2",Condo,8,995999
"371 TEMPLETON STREET, ",2,2,3134,"Ottawa, ON, K1R 7W9",House,1,749900
"14 NORICE STREET UNIT#206, ",2,1,2796,"Ottawa, ON, K1J 1K5",Condo,10,349900
"330 TITAN PRIVATE UNIT#706, ",1,1,4296,"Ottawa, ON, K1V 6T8",House,2,399000
"20 NOLAN AVENUE, ",3,3,2300,"Ottawa, ON, K1J 8T9",Condo,11,1175000
"234 RIDEAU STREET UNIT#2401, ",2,2,2283,"Ottawa, ON, K1G 5R5",Condo,8,649000
"57A YOUNG STREET, ",3,3,6238,"Ottawa, ON, K2E 7R2",House,20,749900
"383 CUMBERLAND STREET UNIT#PH910, ",2,2,7003,"Ottawa, ON, K2P 2N7",House,2,829000
"2284 ORIENT PARK Drive 40, ",3,3,3332,"Ottawa, ON, K1C 2J4",House,13,468800
"1703 DES RAVINS PLACE, ",4,4,4117,"Ottawa, ON, K1R 1E2",Condo,8,1299900
"88 RICHMOND ROAD UNIT#407, ",2,2,3134,"Ottawa, ON, K1R 7W9",House,1,6e+05
"474 HILSON Avenue, ",2,3,2796,"Ottawa, ON, K1J 1K5",Condo,10,1025000
"1913 TWEED Avenue, ",2,3,1886,"Ottawa, ON, K1C 4P1",House,1,584800
"428 SPARKS STREET UNIT#703, ",2,2,4296,"Ottawa, ON, K1V 6T8",House,2,779900
"7 WINTERBURN TERRACE, ",3,3,2300,"Ottawa, ON, K1J 8T9",Condo,11,509777
"2284 ORIENT PARK DRIVE UNIT#40, ",3,3,2283,"Ottawa, ON, K1G 5R5",Condo,8,468800
"2169 RICE AVENUE, ",4,4,6238,"Ottawa, ON, K2E 7R2",House,20,1990000
"210 WOODROFFE AVENUE, ",2,2,3134,"Ottawa, ON, K1R 7W9",House,1,775000
"32 HORNER Drive, ",3,4,2796,"Ottawa, ON, K1J 1K5",Condo,10,1035000
"708 PARKDALE Avenue, ",2,3,1886,"Ottawa, ON, K1C 4P1",House,1,1175000
"9 SIENNA Private, ",3,3,4296,"Ottawa, ON, K1V 6T8",House,2,649900
"234 RIDEAU STREET UNIT#707, ",1,1,2300,"Ottawa, ON, K1J 8T9",Condo,11,394900
"356 HOLLAND Avenue, ",2,3,2283,"Ottawa, ON, K1G 5R5",Condo,8,829900
"909 ELMSMERE DRIVE UNIT#E, ",2,3,6238,"Ottawa, ON, K2E 7R2",House,20,375000
"2001 FAIRBANKS AVENUE, ",5,5,7003,"Ottawa, ON, K2P 2N7",House,2,1390000
"56 CASTLETHORPE CRESCENT, ",3,4,3332,"Ottawa, ON, K1C 2J4",House,13,1049900
"2871 RICHMOND ROAD UNIT#601, ",2,2,4117,"Ottawa, ON, K1R 1E2",Condo,8,369900
"31 CLAUDET CRESCENT, ",2,3,3134,"Ottawa, ON, K1R 7W9",House,1,849900
"1231 KINGSTON AVENUE, ",2,3,2796,"Ottawa, ON, K1J 1K5",Condo,10,649000
"167 STRATHCONA AVENUE, ",2,3,1886,"Ottawa, ON, K1C 4P1",House,1,1200000
"2785 BASELINE ROAD UNIT#407, ",1,1,4296,"Ottawa, ON, K1V 6T8",House,2,359000
"847 DUBERRY STREET, ",2,3,2300,"Ottawa, ON, K1J 8T9",Condo,11,799900
"255 BAY STREET UNIT#317, ",2,2,2283,"Ottawa, ON, K1G 5R5",Condo,8,569000
"909 ELMSMERE DRIVE UNIT#E, ",2,3,6238,"Ottawa, ON, K2E 7R2",House,20,375000
"2640 COLMAN STREET, ",2,4,7003,"Ottawa, ON, K2P 2N7",House,2,650000
"1380 PRINCE OF WALES DRIVE UNIT#1202, ",1,2,3332,"Ottawa, ON, K1C 2J4",House,13,309900
"6828 JEANNE D'ARC N Boulevard A, ",2,2,4117,"Ottawa, ON, K1R 1E2",Condo,8,410000
"933 ALPINE AVENUE, ",2,4,3134,"Ottawa, ON, K1R 7W9",House,1,925000
"60 SPRINGHURST AVENUE UNIT#211, ",2,1,1886,"Ottawa, ON, K1C 4P1",House,1,649900
"630 DICKINSON AVENUE, ",2,5,4296,"Ottawa, ON, K1V 6T8",House,2,650000
"200 RIDEAU STREET UNIT#1505, ",2,2,6238,"Ottawa, ON, K2E 7R2",House,20,594900
"270 TITANIUM PRIVATE UNIT#B, ",2,2,7003,"Ottawa, ON, K2P 2N7",House,2,484900
"1572 AINSLEY Drive, ",3,5,3332,"Ottawa, ON, K1C 2J4",House,13,699900
"29 BURROWS ROAD, ",3,4,4117,"Ottawa, ON, K1R 1E2",Condo,8,1690000
"825 CAHILL DRIVE W UNIT#184, ",2,3,2796,"Ottawa, ON, K1J 1K5",Condo,10,335000
"6475 TIMOTHY COURT, ",2,3,1886,"Ottawa, ON, K1C 4P1",House,1,497000
"837 EASTVALE DRIVE UNIT#130, ",2,4,4296,"Ottawa, ON, K1V 6T8",House,2,415000
"377 DOMINION AVENUE, ",3,3,2300,"Ottawa, ON, K1J 8T9",Condo,11,1119900
"80 DONALD STREET, ",2,4,2283,"Ottawa, ON, K1G 5R5",Condo,8,799000
"78 CASTLEGREEN PRIVATE, ",3,3,6238,"Ottawa, ON, K2E 7R2",House,20,549900
"1610 SAXONY CRES, ",2,3,7003,"Ottawa, ON, K2P 2N7",House,2,722900
"65 OBLATS AVENUE, ",3,3,3332,"Ottawa, ON, K1C 2J4",House,13,1100000
"1748 STONEBOAT CRESCENT, ",2,3,4117,"Ottawa, ON, K1R 1E2",Condo,8,574900
"5895 GLADEWOODS PLACE, ",3,3,3134,"Ottawa, ON, K1R 7W9",House,1,819800
"97 HOLMWOOD AVENUE, ",2,3,2796,"Ottawa, ON, K1J 1K5",Condo,10,999900
"530 DE MAZENOD Avenue 710, ",2,2,4296,"Ottawa, ON, K1V 6T8",House,2,799900
"741 LUDGATE Court, ",4,4,2300,"Ottawa, ON, K1J 8T9",Condo,11,1360000
"171 ETHEL Street, ",2,5,2283,"Ottawa, ON, K1G 5R5",Condo,8,559900
"1081 AMBLESIDE DRIVE UNIT#801, ",1,2,6238,"Ottawa, ON, K2E 7R2",House,20,352900
"526 KIRKWOOD AVENUE, ",2,3,7003,"Ottawa, ON, K2P 2N7",House,2,750000
"2709 VIOLET STREET, ",2,3,3332,"Ottawa, ON, K1C 2J4",House,13,599900
"3043 FAIRLEA CRESCENT UNIT#14, ",2,4,4117,"Ottawa, ON, K1R 1E2",Condo,8,364900
"30 ROCKY RIDGE COURT, ",4,4,3134,"Ottawa, ON, K1R 7W9",House,1,1222000
"118 HOLMWOOD AVENUE UNIT#702, ",1,1,2796,"Ottawa, ON, K1J 1K5",Condo,10,559000
"1081 AMBLESIDE DRIVE UNIT#801, ",1,2,4296,"Ottawa, ON, K1V 6T8",House,2,352900
"362 STEWART STREET, ",4,5,2300,"Ottawa, ON, K1J 8T9",Condo,11,1498000
"29-31 PANSY AVENUE, ",3,6,2283,"Ottawa, ON, K1G 5R5",Condo,8,989900
"20 DALY AVENUE UNIT#1909, ",2,2,6238,"Ottawa, ON, K2E 7R2",House,20,849900
"1380 PRINCE OF WALES DRIVE UNIT#209, ",1,1,7003,"Ottawa, ON, K2P 2N7",House,2,299900
"227-229 MURRAY Street, ",8,8,3332,"Ottawa, ON, K1C 2J4",House,13,849000
"213 MURRAY Street, ",3,3,4117,"Ottawa, ON, K1R 1E2",Condo,8,399000
"120 HOLLAND Avenue 5B, ",1,1,3134,"Ottawa, ON, K1R 7W9",House,1,675000
"120 HOLLAND AVENUE UNIT#5B, ",1,1,1886,"Ottawa, ON, K1C 4P1",House,1,675000
"211 MURRAY Street, ",3,3,4296,"Ottawa, ON, K1V 6T8",House,2,399000
"1876 DU CLAIRVAUX ROAD, ",4,4,2300,"Ottawa, ON, K1J 8T9",Condo,11,884900
"805 CARLING Avenue 3703, ",1,1,2283,"Ottawa, ON, K1G 5R5",Condo,8,499900
"2011 SHAREL Drive, ",2,4,3332,"Ottawa, ON, K1C 2J4",House,13,799000
"900 RIDDELL AVENUE N, ",2,4,4117,"Ottawa, ON, K1R 1E2",Condo,8,735000
"213 ARMSTRONG Street, ",2,5,2796,"Ottawa, ON, K1J 1K5",Condo,10,1089900
"316 BRUYERE Street 211, ",2,2,1886,"Ottawa, ON, K1C 4P1",House,1,485000
"429 SOMERSET W Street 1211, ",1,1,6238,"Ottawa, ON, K2E 7R2",House,20,435000
"81 CENTRAL PARK Drive, ",3,3,7003,"Ottawa, ON, K2P 2N7",House,2,659900
"382 WINSTON Avenue, ",2,2,4117,"Ottawa, ON, K1R 1E2",Condo,8,779000
"2967 SOUTHMORE E Drive, ",3,4,3134,"Ottawa, ON, K1R 7W9",House,1,8e+05
"1542 LASSITER Terrace, ",2,3,2796,"Ottawa, ON, K1J 1K5",Condo,10,389900
"84 CARWOOD CIRCLE, ",2,3,1886,"Ottawa, ON, K1C 4P1",House,1,599900
"498 ATHLONE Avenue, ",2,3,4296,"Ottawa, ON, K1V 6T8",House,2,949000
"575 BYRON AVENUE UNIT#316, ",1,1,2300,"Ottawa, ON, K1J 8T9",Condo,11,450000
"705 BEAUPARC PRIVATE UNIT#301, ",2,2,6238,"Ottawa, ON, K2E 7R2",House,20,499900
"428 VIEWMOUNT DRIVE, ",3,4,7003,"Ottawa, ON, K2P 2N7",House,2,879900
"2020 JASMINE CRESCENT UNIT#1105, ",1,2,3332,"Ottawa, ON, K1C 2J4",House,13,279900
"515 ST LAURENT BOULEVARD UNIT#2312, ",1,2,3134,"Ottawa, ON, K1R 7W9",House,1,274000
"2193 BINGHAM STREET, ",1,3,2796,"Ottawa, ON, K1J 1K5",Condo,10,660000
"912 RIDDELL AVENUE N, ",4,4,1886,"Ottawa, ON, K1C 4P1",House,1,1198800
"1446 WOODWARD AVENUE, ",2,4,4296,"Ottawa, ON, K1V 6T8",House,2,685000
"2226 FIFE Crescent, ",2,4,2300,"Ottawa, ON, K1J 8T9",Condo,11,699900
"12 CORKSTOWN ROAD UNIT#123, ",1,2,2283,"Ottawa, ON, K1G 5R5",Condo,8,499000
"300 POWELL Avenue 202, ",1,1,6238,"Ottawa, ON, K2E 7R2",House,20,489900
"1480 RIVERSIDE DRIVE UNIT#2002, ",3,2,7003,"Ottawa, ON, K2P 2N7",House,2,959000
"121 QUEEN MARY STREET, ",2,3,3332,"Ottawa, ON, K1C 2J4",House,13,729900
"1191 STANTON ROAD, ",3,4,4117,"Ottawa, ON, K1R 1E2",Condo,8,935000
"6233 FORTUNE Drive, ",3,4,3134,"Ottawa, ON, K1R 7W9",House,1,799000
"4 GWYNNE AVENUE, ",3,3,2796,"Ottawa, ON, K1J 1K5",Condo,10,759000
"2630 SOUTHVALE CRESCENT UNIT#514, ",2,3,1886,"Ottawa, ON, K1C 4P1",House,1,399000
"2616 FLANNERY DRIVE, ",2,3,4296,"Ottawa, ON, K1V 6T8",House,2,690000
"2563 HOPKINS ROAD, ",2,3,2300,"Ottawa, ON, K1J 8T9",Condo,11,649800
"259 GARNEAU STREET, ",4,4,2283,"Ottawa, ON, K1G 5R5",Condo,8,1295000
"117 GATESTONE Private, ",2,2,7003,"Ottawa, ON, K2P 2N7",House,2,419900
"816 TORSA COURT, ",3,4,3332,"Ottawa, ON, K1C 2J4",House,13,7e+05
"570 DE MAZENOD Avenue 406, ",2,2,4117,"Ottawa, ON, K1R 1E2",Condo,8,790000
"225 ALVIN ROAD UNIT#102, ",2,2,3134,"Ottawa, ON, K1R 7W9",House,1,464000
"92 COLLEGE Circle, ",2,3,2796,"Ottawa, ON, K1J 1K5",Condo,10,699990
"570 DE MAZENOD AVENUE UNIT#406, ",2,2,1886,"Ottawa, ON, K1C 4P1",House,1,790000
"78 STEELE PARK PRIVATE, ",2,2,4296,"Ottawa, ON, K1V 6T8",House,2,461000
"235 KENT Street 512, ",1,1,2283,"Ottawa, ON, K1G 5R5",Condo,8,399900
"228 BRISTON PRIVATE, ",3,3,6238,"Ottawa, ON, K2E 7R2",House,20,448800
"576 THOMSON STREET, ",3,5,7003,"Ottawa, ON, K2P 2N7",House,2,1450000
"3100 CARLING AVENUE UNIT#113, ",1,2,3332,"Ottawa, ON, K1C 2J4",House,13,349900
"1305 PARC DU VILLAGE Street, ",4,3,4117,"Ottawa, ON, K1R 1E2",Condo,8,784900
"380 APPLEFORD Street, ",2,4,3134,"Ottawa, ON, K1R 7W9",House,1,334900
"20 METROPOLE PRIVATE, ",3,3,2796,"Ottawa, ON, K1J 1K5",Condo,10,935000
"74 GILLESPIE CRESCENT, ",3,3,1886,"Ottawa, ON, K1C 4P1",House,1,695000
"507 CLARENCE STREET E, ",4,4,4296,"Ottawa, ON, K1V 6T8",House,2,869000
"665 BATHGATE DRIVE UNIT#1211, ",2,2,2300,"Ottawa, ON, K1J 8T9",Condo,11,324900
"721 Hemlock Rd, ",3,4,2283,"Ottawa, ON, K1G 5R5",Condo,8,1400000
"205 - 383 Cumberland St, ",1,1,6238,"Ottawa, ON, K2E 7R2",House,20,340000
"203 CATHERINE STREET UNIT#710, ",1,1,7003,"Ottawa, ON, K2P 2N7",House,2,429900
"1356 MEADOWLANDS DRIVE UNIT#901, ",1,2,1886,"Ottawa, ON, K1C 4P1",House,1,360000
"239 CUMBERLAND STREET, ",2,2,2300,"Ottawa, ON, K1J 8T9",Condo,11,469900
"692 HOLT CRESCENT, ",2,3,2283,"Ottawa, ON, K1G 5R5",Condo,8,729900
"900 KIRKWOOD AVENUE, ",2,3,3332,"Ottawa, ON, K1C 2J4",House,13,576000
"280 ST ANDREW Street, ",2,2,2796,"Ottawa, ON, K1J 1K5",Condo,10,599900
"505 DAWSON AVENUE, ",1,3,1886,"Ottawa, ON, K1C 4P1",House,1,1099000
"805 CARLING AVENUE UNIT#1501, ",1,1,4296,"Ottawa, ON, K1V 6T8",House,2,469000
"2000 JASMINE Crescent 1013, ",1,2,2300,"Ottawa, ON, K1J 8T9",Condo,11,299900
"33 WOODVIEW CRESCENT, ",2,4,2283,"Ottawa, ON, K1G 5R5",Condo,8,674900
"2000 JASMINE CRESCENT UNIT#1013, ",1,2,7003,"Ottawa, ON, K2P 2N7",House,2,299900
"6354 SABLEWOOD Place, ",3,3,3134,"Ottawa, ON, K1R 7W9",House,1,634000
"59 FARLANE BOULEVARD, ",4,5,2796,"Ottawa, ON, K1J 1K5",Condo,10,1299000
"3103 ARMADA AVENUE, ",2,3,1886,"Ottawa, ON, K1C 4P1",House,1,449900
"240 BAYSWATER AVENUE, ",3,5,4296,"Ottawa, ON, K1V 6T8",House,2,1399900
"1326 ESSEX STREET, ",2,3,2283,"Ottawa, ON, K1G 5R5",Condo,8,925000
"2610 DRAPER Avenue 66, ",2,3,7003,"Ottawa, ON, K2P 2N7",House,2,399900
"370 FULLERTON AVENUE, ",2,3,3332,"Ottawa, ON, K1C 2J4",House,13,649900
"9 ARCHER SQUARE, ",3,3,4117,"Ottawa, ON, K1R 1E2",Condo,8,795000
"6186 RED WILLOW DRIVE, ",4,4,3134,"Ottawa, ON, K1R 7W9",House,1,549900
"1233 WILLOWDALE Avenue, ",2,4,2796,"Ottawa, ON, K1J 1K5",Condo,10,839900
"23 ST CLAIRE AVENUE, ",5,5,1886,"Ottawa, ON, K1C 4P1",House,1,1745000
"16 LADOUCEUR STREET, ",2,3,4296,"Ottawa, ON, K1V 6T8",House,2,725000
"958 WOODROFFE AVENUE, ",1,3,2300,"Ottawa, ON, K1J 8T9",Condo,11,8e+05
"954 WOODROFFE AVENUE, ",1,3,6238,"Ottawa, ON, K2E 7R2",House,20,1200000
"613 Hacket Unit# 24B, ",2,2,3332,"Ottawa, ON, K1C 2J4",House,13,729900
"650 BROADVIEW AVENUE, ",2,3,4117,"Ottawa, ON, K1R 1E2",Condo,8,1150000
"819 LYON STREET, ",4,5,3134,"Ottawa, ON, K1R 7W9",House,1,889500
"606 MIKINAK ROAD, ",3,4,2796,"Ottawa, ON, K1J 1K5",Condo,10,899900
